Accession	Description	Extended.Description	Organism	No..Samples	Platform	GEO.SRA	FTP	SampleType	Disease	Normal_samples	COPD_samples	NonCOPD_samples	Additional_treatment	Notes
GSE11223	Colon biopsies from UC patients and healthy controls	(Submitter supplied) Transcriptional profiling of colon epithelial biopsies from ulcerative colitis patients and healthy control donors. Study aims to survey and analyze variation from disease in different GI regions. Keywords: disease state analysis	Homo sapiens	202	GPL1708	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11223/	LUNG_TISSUE	ULCERATIVE COLITIS	CONTROL	NA	202	NO	
GSE8581	Human Chronic Obstructive Pulmonary Disorder (COPD) Biomarker	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) is an inflammatory lung disease with complex pathological features and largely unknown etiologies. Identification and validation of biomarkers for this disease could facilitate earlier diagnosis, appreciation of disease subtypes and/or determination of response to therapeutic intervention.  To identify gene expression markers for COPD, we performed genome-wide expression profiling of lung tissue from 56 subjects using the Affymetrix U133 Plus 2.0 array. more..	Homo sapiens	58	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8581/	LUNG_TISSUE	COPD	CONTROL	6	52	NO	
GSE8500	Gene Expression Profiling in the Lungs of Patients with Chronic Obstructive Pulmonary Disease (COPD) and Lung Cancer	(Submitter supplied) COPD is a common and disabling lung disease for which very few therapeutic options are currently available. We reasoned that global gene expression profiling of COPD lungs could reveal previously unidentified disease pathways for potential therapeutic interventions. Forty-eight human lung samples were obtained from lungs or lobes resected for small peripheral lung lesions (5 non-smokers, 21 GOLD 0, 9 GOLD 1, 10 GOLD 2 and 3 GOLD 3 patients). more..	Homo sapiens	48	GPL3991	XLS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8500/	LUNG_TISSUE	COPD	NA	48	NA	NO	
GSE1650	COPD Study	(Submitter supplied) Comparison of severely emphysematous tissue removed at lung volume reduction surgery to that of normal or mildly emphysematous lung tissue resected from smokers with nodules suspicious for lung cancer. Data obtained from the 18 patients with severe emphysema and 12 patients with mild/no emphysema. Research may provide insights into the pathogenetic mechanisms involved in chronic obstructive pulmonary disease (COPD). more..	Homo sapiens	30	GPL96	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1650/	LUNG_TISSUE	EMPHYSEMA_COPD	NORMAL	18	12	NO	
GSE1122	Emphysema Lung Tissue Gene Expression Profiling	(Submitter supplied) Gene expression profiling of lung tissue from undiseased (NML), 'usual' emphysema (EML), and Alpha-1 Antitrypsin Deficiency-related emphysema (ADL). Keywords = Emphysema Keywords = COPD Keywords = Alpha-1 Antitrypsin Deficiency Keywords: ordered	Homo sapiens	15	GPL80	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1122/	LUNG_TISSUE	EMPHYSEMA_COPD		10	5	NO	Alpha-1 antitripsin
GSE124180	RNA-sequencing across three matched tissues highlights gene expression signatures in COPD	(Submitter supplied) Multiple gene expression studies have been performed separately in peripheral blood, lung, and airway tissues to study COPD. We performed RNA-sequencing gene expression profiling of large-airway epithelium, alveolar macrophage and peripheral blood samples from the same set of COPD cases and controls from the COPDGene study who underwent bronchoscopy at a single center. Using statistical and gene set enrichment approaches, we sought to improve the understanding of COPD by studying gene sets and pathways across these tissues, beyond the individual genomic determinants	Homo sapiens	63	GPL16791	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124180/	LUNG_TISSUE_BLOOD	COPD	CONTROL	21	42	NA	
GSE23704	Gene expression profiling on bronchoalveolar lavage (BAL) cells treated with all-trans-retinoic acid (ATRA)	(Submitter supplied) All-trans retinoic acid (ATRA) is a potent retinoid, which has been used successfully in different clinical settings as a potential drug to treat COPD and emphysema. In alveolar macrophages, ATRA selectively down-regulates MMP-9 and up-regulates TIMP-1 expression. In the present study, we analyzed additional genes modulated by ATRA by performing mRNA expression array on alveolar macrophages after treatment with ATRA	Homo sapiens	2	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23704/	BALF	EMPHYSEMA_COPD	CONTROL	NA	2	NO	
GSE118481	Gene array of laser capture microdissectioned human diabetic vs non-diabetic plaque macrophages	(Submitter supplied) The aim of this study was to understand if gene expression in atherosclerotic plaque macrophages is altered by diabetes. Laser capture microdissection (LCM) was used to specifically isolate macrophage enriched regions from human carotid atherosclerotic plaque samples. RNA isolated was then sent for sequencing using the Illumina bead array system. Gene expression data revealed that 106 genes from diabetic macrophages are differentially expressed (FDR<0.2) and provide mechanistic evidence for the involvement of Runt-related transcription factor 1 (RUNX1) in the development of diabetic atherosclerosis	Homo sapiens	24	GPL10558	IDAT, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118481/	MACROPHAGES	DIABETES	CONTROL	NA	24	NA	
GSE92532	Altered regulation and expression of genes by BET family of proteins in alveolar macrophages from COPD patients	(Submitter supplied) BET proteins (BRD2, BRD3, BRDT and BRD4) belong to the family of bromodomain containing proteins, which form a class of transcriptional co‑regulators.  BET proteins bind to acetylated lysines in the histones of nucleosomal chromatin and function either as co‑activators or co‑repressors of gene expression. An imbalance between HAT and HDAC activities resulting in hyperacetylation of histones has been identified in COPD.  We hypothesized that BET inhibitor (JQ1) treatment of BET protein interactions with hyperacetylated sites in the chromatin will regulate excessive activation of pro-inflammatory genes and survival of key inflammatory drivers, alveolar macrophages (AM) in COPD. more..	Homo sapiens	83	GPL18573	TSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92532/	MACROPHAGES	COPD	NA	83	NA	Yes: BET inhibitor JQ1 And LPS from E. Coli	
GSE10038	Upregulation of Expression of Matrix Metalloproteinases in Alveolar Macrophages of HIV1+ Smokers with Early Emphysema	(Submitter supplied) HIV1+ smokers develop emphysema at an earlier age and with a higher incidence than HIV1- smokers. Based on the knowledge that human alveolar macrophages (AM) are capable of producing proteases that degrade extracellular matrix components, we hypothesized that upregulation of AM matrix metalloproteinases may be associated with the emphysema of HIV1+ smokers. To test this hypothesis, microarray analysis was used to screen which MMP genes were expressed by AM isolated by bronchoalveolar lavage (BAL) of HIV1+ smokers with early emphysema. more..	Homo sapiens	11	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10038/	MACROPHAGES	EMPHYSEMA	EARLY COPD	11	0	NO	Expression of matrix metalloproteinases
GSE46903	Transcriptome-based network analysis reveals a spectrum model of human macrophage activation [Expression]	(Submitter supplied) Macrophage activation is associated with profound transcriptional reprogramming. Although much progress has been made in the understanding of macrophage activation, polarization and function, the transcriptional programs regulating these processes remain poorly characterized. We stimulated human macrophages with diverse activation signals, acquiring a dataset of 299 macrophage transcriptomes. Analysis of this dataset revealed a spectrum of macrophage activation states extending the current M1 versus M2-polarization model. more..	Homo sapiens	384	GPL6947	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46903/	MACROPHAGES	COPD	CONTROL	12	103*	NO	
GSE27002	Chronic Cigarette Smoke Exposure Results in Coordinated Methylation and Gene Expression Changes in Human Alveolar Macrophages	(Submitter supplied) Cigarette smoking is the leading cause of emphysema in the United States. Alveolar macrophages play a critical role in the inflammation-mediated remodeling of the lung parenchyma in emphysema. However, the exact gene pathways and the role of DNA methylation in moderating this pathological transformation are not known. In order to more exactly understand this process, we compared genome-wide expression and methylation signatures of alveolar macrophages isolated from heavy smokers with those isolated from non-smoking controls. more..	Homo sapiens	23	GPL5175	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27002/	MACROPHAGES	EMPHYSEMA	CONTROL	NA	23	NO	
GSE8823	Overexpression of the Apoptotic Cell Removal Receptor, MERTK, in Alveolar Macrophages of Cigarette Smokers	(Submitter supplied) Mononuclear phagocytes play an important role in the removal of apoptotic cells by expressing cell surface receptors that recognize and remove apoptotic cells. Based on the knowledge that cigarette smoking is associated with increased lung cell turnover, we hypothesized that alveolar macrophages (AM) of normal cigarette smokers may exhibit enhanced expression of apoptotic cell removal receptor genes. more..	Homo sapiens	24	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8823/	MACROPHAGES	COPD	NORMAL	NA	24	NO	MERTK
GSE2125	isolated alveolar macrophages	(Submitter supplied) This series represents isolated alveolar macrophages from human subjects. Keywords: parallel sample	Homo sapiens	45	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE2nnn/GSE2125/	MACROPHAGES	NA	NA	NA	45	NO	
GSE3212	Gene expression in alveolar macrophages from phenotypically normal smokers compared to non-smokers	(Submitter supplied) Cigarette smoking is the leading cause of the respiratory diseases collectively known as chronic obstructive pulmonary disease (COPD). While the pathogenesis of COPD is complex, there is abundant evidence that alveolar macrophages (AM) play an important role. Based on the concept that COPD is a slow-progressing disorder likely involving multiple mediators released by AM activated by cigarette smoke, the present study focuses on the identification of previously unrecognized genes that may be linked to early events in the molecular pathogenesis of COPD, as opposed to factors associated with the presence of disease. more..	Homo sapiens	10	GPL80	CEL, EXP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3212/	MACROPHAGES	COPD	NORMAL	NA	10	NO	
GSE8608	MDM from COPD patients and healthy subjects after treatment with LPS or fine and ultrafine particles	(Submitter supplied) In this study gene expression of monocyte-derived macrophages (MDM) from chronic obstructive pulmonary disease (COPD) patients and healthy subjects was investigated. MDM were treated with LPS, a combination of fine TiO2 and ultrafine Printex90 particles, or remained untreated. Keywords: disease state analysis	Homo sapiens	6	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8608/	MONOCYTE-DERIVED_MACROPHAGES	COPD	NORMAL	3	3	YES: LPS (10ng/ml)	
GSE100281	COPD is accompanied by coordinated transcriptional perturbation in the quadriceps affecting the mitochondria and ECM	(Submitter supplied) In this experiment we catalogue transcriptional changes accompanying COPD in the quadriceps. We measure global gene transcription in the quadriceps using Affymetrix HuGene 1.1 ST arrays in an unselected cohort of 79 stable COPD patients in secondary care and 16 healthy age-and gender-matched controls. We identified 1,826 differentially expressed transcript clusters, comprising 6 modules of co-expressed genes, which differentially associate with clinical and immunological features of COPD	Homo sapiens	95	GPL11532	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100281/	MUSCLE	COPD	CONTROL	79	16	NA	They used the quadriceps
GSE90154	Muscle Biopsy: oxygen vs air treatment	(Submitter supplied) Transcriptional profiling comparing muscle biopsies from vastus lateralis in patients with COPD Patients randomised in cross over study to 3months of air and 3months oxygen therapy with muscle biopies taken at baseline and following each intervention	Homo sapiens	14	GPL16699	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90154/	MUSClE	COPD	NA	14	NA	NA	Vastus lateralis biopsie
GSE45251	The inflammatory response of human airway smooth muscle cells	(Submitter supplied) Background: Tissue remodeling induced by airway inflammation is a main trigger of pathogenesis in various chronic lung diseases like asthma, COPD, IPF, and pulmonary hypertension. The role of human airway smooth muscle cells (HASMCs) in this context is unclear.  Hypothesis: HASMCs participate in linking inflammation with remodeling.  Methods: The inflammatory responses of ex vivo-cultivated HASMCs to TNFα were investigated by whole-genome-microarray analyses. more..	Homo sapiens	16	GPL4133	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45251/	MUSCLE	COPD_IPF	CONTROL	NA	16	YES: stimulated with TNFa	
GSE10828	Vastus lateralis muscle of patients with an acute COPD exacerbation	(Submitter supplied) To further unravel the potential molecular mechanisms involved in the loss of muscle function during an acute exacerbation, a cross-sectional microarray study was designed to compare the gene expression profile of the vastus lateralis muscle in patients with an acute COPD exacerbation and in stable COPD patients.  Keywords: cross-sectional patient study	Homo sapiens	9	GPL2891	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10828/	MUSCLE	COPD	NA	9	NA	NO	
GSE1786	Vastus lateralis biopsies from healthy trained and sedentary males	(Submitter supplied) Needle biopsies were obtained from the vastus lateralis muscle of 6 healthy, sedentary, 67±2.5 year-old males before and after 3 months of training. Keywords: other	Homo sapiens	24	GPL96	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1786/	MUSClE	COPD	NORMAL	12	12	NO	Vastus lateralis
GSE27543	Vastus lateralis biopsies from healthy and COPD patients before and after 3 weeks of endurance training	(Submitter supplied) Study the effects of 3 weeks training exercise in chronic obstructive pulmonary disease (COPD) patients and healthy individuals. Skeletal muscle biopsies of 5 COPD patients (aged 63±2 year) and 3 age-matched healthy individuals were studied before and after 3 weeks of a supervised endurance training program	Homo sapiens	16	GPL201	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27543/	MUSClE	COPD	NORMAL	10	6	YES: endurance training program	
GSE146532	RNA-sequencing of bronchial epithelial cells from an adult cohort including asthmatics, COPD and healthy controls, cultured with Rhinovirus 1A	(Submitter supplied) Rhinovirus infections exacerbate chronic respiratory inflammatory diseases such as asthma and chronic obstructive pulmonary disease (COPD). Airway epithelial cells are the primary site of rhinovirus replication and responsible for initiating the host immune response to infection. Numerous studies have reported that the anti-viral innate immune response in asthma is deficient leading to the conclusion that epithelial innate immunity is a key determinant of disease severity during a rhinovirus induced exacerbation. more..	Homo sapiens	120	GPL11154	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146532/	NA	COPD	CONTROL	40	40	Yes: cultured with Rhinovirus 1A	
GSE142100	Application of text mining to build AOP-based mucus hypersecretion genesets and validation with in vitro and clinical samples	(Submitter supplied) Purpose: Build genesets using text mining and validate the geneset with data from public repository and a dataset generated in house using in vitro models and RNA-seq Methods: Mucus hypersecretion and mucociliary dysfucntion adverse outcome pathways (AOPs) genesets were build using the text mining method described by Rani et al., 2015. Validation was performed using RNA expression data from cigarette and e-cigarette aerosol treated cells, IL-13 treated airway cells, and COPD-lung biopsies. more..	Homo sapiens	72	GPL18573	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142100/	NA	NA	NA	NA	NA	Yes: e-cigarette aerosol	The authors mentioned COPD biopsies but they are using public data
GSE124637	The effect of intermittent versus continuous low dose aspirin on nasal epithelium gene expression in current smokers: a randomized, double-blinded clinical study	(Submitter supplied) A chemopreventive effect of aspirin (ASA) on lung cancer risk is supported by epidemiologic and preclinical studies. We conducted a randomized, double-blind, placebo controlled study in current heavy smokers to compare modulating effects of intermittent versus continuous low dose ASA on gene signatures of smoking and lung cancer from nasal brushings. Fifty-four participants were randomized to intermittent ASA (ASA 81 mg daily for one week alternating with placebo daily for one week) or continuous ASA (81 mg daily) for 12 weeks. more..	Homo sapiens	109	GPL23526	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124637/	NASAL_EPITHELIUM	NA	NA	NA	NA	Yes: aspirin (ASA) 81 mg daily for one week alternating with placebo daily for one week	
GSE160769	Differential plasma exosomal long non-coding RNAs expression profiles and their emerging role in E-cig users, cigarette, waterpipe and dual smokers	(Submitter supplied) Long non-coding RNA (lncRNA) are the varied set of transcripts that are known to play a critical role in biological processes like gene regulation, transcription, post-transcriptional modification, and chromatin remodeling. Recent studies have reported the presence of lncRNA in the exosomes and have proven their involvement in regulating cell-to-cell communication in lung pathologies including lung cancer, chronic obstructive pulmonary disease (COPD), asthma, and idiopathic pulmonary fibrosis (IPF)	Homo sapiens	30	GPL23126	CEL, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160769/	PLASMA	NA	NA	NA	NA	NA	NA
GSE3510	Gene expression in lung fibroblasts of patients with emphysema	(Submitter supplied) Exploratory design using pooled samples of 3 patients with emphysema and 3 patients without COPD Aim: 1.Search for expressed genes to select for a custom designed array (200 genes, n=50). 2. Find highly differentially expressed genes as targets for qPCR 3. Search for regulated senescent associated genes Keywords: disease comparison	Homo sapiens	2	GPL3016	GEL, GMD, TIFF, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3510/	PRIMARY_CULTURE_FIBROBLAST	EMPHYSEMA_COPD	CONTROL	1	1	NO	
GSE102674	Effect of mTORC1 and 2 inhibition on myofibroblast global gene expression 	(Submitter supplied) Background: Mechanistic target of rapamycin (mTOR) is a nodal serine/threonine protein kinase critical for the control of fundamental cellular processes. Dysregulated mTOR signalling has been shown in cancer, COPD and idiopathic pulmonary fibrosis (IPF). mTOR forms the catalytic subunit of 2 protein complexes: mTORC1 and mTORC2 which differ in upstream inputs, downstream effects and sensitivity to the allosteric inhibitor rapamycin. more..	Homo sapiens	24	GPL18573	TAB	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102674/	PRIMARY_CULTURE_FIBROBLASTOS	COPD_IPF	CONTROL	NA	24	Yes: TGFB1 dor 24h in the presence of rapamycin or AZD8055	
GSE135188	Intermittent exposure to whole cigarette smoke alters the differentiation of primary small airway epithelial cells in the air-liquid interface culture	(Submitter supplied) Cigarette smoke (CS) is the leading cause to develop COPD. Therefore, we investigated the pathologic effects of whole CS on the differentiation of primary small airway epithelial cells (SAEC), from three healthy donors and three COPD patients, cultured under ALI (air-liquid interface) conditions. The analysis of the epithelial physiology demonstrated that CS impaired barrier formation and reduced cilia beat activity. more..	Homo sapiens	36	GPL21290	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135188/	PRIMARY_CULTURE_SAECs	COPD	CONTROL	18	18	Yes: smoke cigarette or air	3 COPD donors, 3 Healthy donors have been split into 6 ALI (air-liquid interface) conditions
GSE61397	The transcriptional profile of human CD8+ lung resident memory T-cells	(Submitter supplied) A specialized population of memory CD8+ T-cells resides in the epithelium of the respiratory tract to maintain protection against recurring infections. These cells express CD69 and the integrin αβ7 (CD103) and correspond to tissue resident memory T-cells (TRM) also described in intestine, liver and brain. A less well characterized population of CD103- CD8+ T-cells also resides in lungs and expresses markers characteristic of effector memory T-cells (TEM). more..	Homo sapiens	28	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61397/	PRIMARY_CULTURE_TCELLS	COPD	NORMAL	13	15	NA	
GSE10896	Impact of curcumin on human monocytes (U937 cells) exposed to oxidative stress	(Submitter supplied) Oxidative stress as a result of cigarette smoking is an important etiological factor in the pathogenesis of chronic obstructive pulmonary disease (COPD), a chronic steroid-insensitive inflammatory disease of the airways. The activity of the transcriptional co-repressor Histone deacetylase-2 (HDAC2) is dramatically reduced in COPD and cells exposed to oxidative stress or cigarette smoke. Moreover, curcumin (diferuloylmethane), a dietary polyphenol, at concentrations upto 1uM specifically restores cigarette smoke extract (CSE)- or oxidative stress- impaired HDAC2 activity. more..	Homo sapiens	24	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10896/	RNA	COPD	NORMAL	NA	24	YES: curcumin for 4 or 18h	
GSE148004	Analysis of sputum gene expression data in Asthma and COPD	(Submitter supplied) In addition to analyzing whole-genome methylation, we concomitantly evaluated sputum cell gene expression in the context of chronic inflammatory lung disease. Nucleic acids were purified from sputum samples of subjects with Asthma, COPD as well as healthy controls. Gene expression was analyzed on the Agilent Human GE 4x44k v2 platform	Homo sapiens	25	GPL13497	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148004/	SPUTUM	COPD_ASTHMA	10	10	9	NA	NA
GSE112260	Genetic characterization of macrophages from induced sputum of asthma and COPD patients	(Submitter supplied) Background: Macrophages are important cells in pathogenesis of obstructive lung diseases including asthma and chronic obstructive pulmonary disease (COPD). The aim of the study was a multivariate, genetic, comparative analysis of macrophages from patients with asthma and COPD. Methods: Macrophages were isolated from induced sputum (IS) by magnetic bead separation. Transcriptomic measurements were carried out using Affymetrix Human Gene 2.1 ST ArrayStrip in 17 samples: 8 asthma (4 ICS naive , 4 ICS treated), 4 COPD and 5 control samples. more..	Homo sapiens	16	GPL22067	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112260/	SPUTUM	COPD_ASTHMA	CONTROL	4	12	NA	
GSE22148	Induced Sputum Genes Associated With Spirometroc and Radiological Disease Severity in COPD Ex-smokers	(Submitter supplied) Induced sputum is used to sample inflammatory cells, predominantly neutrophils and macrophages, from the airways of COPD patients. Our aim was to identify candidate genes associated with the degree of airflow obstruction and the extent of emphysema by expression profiling, and then to confirm these findings for selected candidates using specific PCR and protein analysis	Homo sapiens	143	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22148/	SPUTUM	EMPHYSEMA_COPD	NA	143	NA	NO	
